Name,Role,Batting Skill,Batting Type Main,Batting Type Sub,Bowling Skill,Bowling Type,Fielding Skill
Pat Cummins,Bowler,56,lower order,,87,Pace,76
Steve Smith,Batsman,88,top order,3,45,,90
Alex Carey,Batsman,78,middle order,,0,,85
Josh Inglis,Batsman,79,middle order,2,0,,90
Sean Abbott,All-Rounder,75,middle order,,76,Pace,84
Cameron Green,All-Rounder,72,middle order,,70,Spin,81
Josh Hazlewood,Bowler,65,lower order,,94,Pace,74
Travis Head,All-Rounder,82,top order,2,73,,80
Marnus Labuschagne,Batsman,81,middle order,3,56,Spin,81
Mitch Marsh,All-Rounder,82,middle order,1,78,Spin,89
Glenn Maxwell,All-Rounder,87,middle order,,78,Spin,90
Marcus Stoinis,All-Rounder,75,middle order,,75,Pace,75
David Warner,Batsman,87,top order,1,41,,86
Adam Zampa,Bowler,56,lower order,,90,Spin,76
Mitchell Starc,Bowler,54,lower order,,93,Pace,78
