Name,Role,Batting Skill,Batting Type Main,Batting Type Sub,Bowling Skill,Bowling Type,Fielding Skill
Najmul Hossain Shanto,Batsman,75,top order,3,58,Spin,80
Litton Kumer Das,Batsman,72,top order,2,,,77
Tanzid Hasan Tamim,Batsman,73,top order,1,,,80
Shakib al Hasan,All-Rounder,78,middle order,3,78,Spin,90
Tawhid Hridoy,Batsman,66,middle order,,,,80
Mushfiqur Rahim,Batsman,78,middle order,1,0,,90
Mahmudullah Riyad,Batsman,72,middle order,2,,,86
Mehidy Hasan,All-Rounder,71,middle order,,72,Spin,73
Nasum Ahmed,All-Rounder,68,middle order,,65,Spin,67
Mahedi Hasan,All-Rounder,70,middle order,,70,Spin,71
Taskin Ahmed,Bowler,54,lower order,,78,Pace,72
Mustafizur Rahman,Bowler,51,lower order,,80,Pace,78
Hasan Mahmud,Bowler,31,lower order,,70,Pace,70
Tanzim Hasan Sakib,Bowler,29,lower order,,72,Pace,71
Shoriful Islam,Bowler,39,lower order,,74,Pace,83
