Name,Role,Batting Skill,Batting Type Main,Batting Type Sub,Bowling Skill,Bowling Type,Fielding Skill
Rohit Sharma,Batsman,84,top order,1,12,,83
Hardik Pandya,All-Rounder,75,middle order,,72,Pace,79
Shubman Gill,Batsman,80,top order,2,18,,62
Virat Kohli,Batsman,96,top order,3,10,,92
Shreyas Iyer,Batsman,74,middle order,1,9,,80
KL Rahul,Batsman,80,middle order,,8,,81
Ravindra Jadeja,All-Rounder,75,middle order,,83,Spin,89
Shardul Thakur,All-Rounder,71,middle order,,71,Spin,61
Jasprit Bumrah,Bowler,45,lower order,,92,Pace,71
Mohammed Siraj,Bowler,49,lower order,,81,Pace,64
Kuldeep Yadav,Bowler,54,middle order,,83,Spin,71
Mohammed Shami,Bowler,46,lower order,,93,Pace,78
Ravichandran Ashwin,Bowler,66,lower order,,82,Spin,71
Ishan Kishan,Batsman,76,middle order,,0,,82
Suryakumar Yadav,Batsman,78,middle order,,32,Spin,78
