Name,Role,Batting Skill,Batting Type Main,Batting Type Sub,Bowling Skill,Bowling Type,Fielding Skill
Scott Edwards,Batsman,69,middle order,2,0,,84
Max O'Dowd,Batsman,66,top order,2,45,Spin,71
Bas de Leede,All-Rounder,65,middle order,3,70,Pace,78
Vikram Singh,Batsman,70,top order,1,,,81
Teja Nidamanuru,Batsman,65,middle order,,54,Pace,81
Paul van Meekeran,Bowler,34,lower order,,68,Pace,78
Colin Ackermann,All-Rounder,70,top order,3,65,Spin,89
Roelof van der Merwe,All-Rounder,62,lower order,,66,Spin,78
Logan van Beek,Bowler,63,middle order,,65,Pace,79
Aryan Dutt,Bowler,47,lower order,,68,Spin,81
Ryan Klein,Bowler,35,lower order,,64,Pace,71
Wesley Barresi,Batsman,64,middle order,,0,,81
Saqib Zulfiqar,All-Rounder,63,middle order,,66,Spin,77
Shariz Ahmad,Bowler,43,lower order,,66,Spin,69
Sybrand Engelbrecht,All-Rounder,71,middle order,1,45,Spin,89
