Name,Role,Batting Skill,Batting Type Main,Batting Type Sub,Bowling Skill,Bowling Type,Fielding Skill
Kane Williamson,Batsman,93,top order,3,33,,83
Trent Boult,Bowler,45,lower order,,94,Pace,82
Mark Chapman,Batsman,75,middle order,,56,,78
Devon Conway,Batsman,83,top order,1,35,,87
Lockie Ferguson,Bowler,53,lower order,,84,Pace,79
Matt Henry,Bowler,50,lower order,,86,Pace,80
Tom Latham,Batsman,75,middle order,,0,,92
Daryl Mitchell,All-Rounder,86,middle order,2,67,Pace,84
Jimmy Neesham,Bowler,50,lower order,,79,Pace,80
Glenn Philips,All-Rounder,70,middle order,,73,Spin,79
Rachin Ravindra,All-Rounder,88,top order,2,79,Spin,85
Mitch Santner,All-Rounder,73,middle order,,81,Spin,80
Ish Sodhi,Bowler,59,middle order,,75,Spin,74
Tim Southee,Bowler,50,lower order,,87,Pace,76
Will Young,Batsman,73,top order,1,56,,80
