Name,Role,Batting Skill,Batting Type Main,Batting Type Sub,Bowling Skill,Bowling Type,Fielding Skill
Babar Azam,Batsman,90,top order,3,6,,76
Shadab Khan,All-Rounder,78,middle order,,80,Spin,84
Fakhar Zaman,Batsman,83,top order,1,3,,71
Imam-ul-Haq,Batsman,76,top order,2,4,,73
Abdullah Shafique,Batsman,78,top order,2,8,,74
Mohammad Rizwan,Batsman,87,middle order,1,0,,81
Saud Shakeel,Batsman,73,middle order,2,64,Spin,76
Iftikhar Ahmed,All-Rounder,76,middle order,,78,Spin,79
Agha Salman,All-Rounder,70,middle order,,73,Spin,80
Mohammad Nawaz,All-Rounder,77,middle order,,78,Spin,81
Usama Mir,Bowler,68,middle order,,76,Spin,72
Haris Rauf,Bowler,52,lower order,,83,Pace,72
Hasan Ali,Bowler,53,lower order,,80,Pace,75
Shaheen Shah Afridi,Bowler,49,lower order,,93,Pace,76
Mohammad Wasim,Bowler,58,lower order,,83,Pace,81
