Name,Role,Batting Skill,Batting Type Main,Batting Type Sub,Bowling Skill,Bowling Type,Fielding Skill
Temba Bavuma,Batsman,80,top order,2,45,,90
Gerald Coetzee,All-Rounder,75,middle order,,77,Pace,84
Quinton de Kock,Batsman,93,top order,1,0,,90
Reeza Hendricks,Batsman,75,top order,1,48,,76
Marco Jensen,All-Rounder,76,middle order,,76,Pace,81
Henrich Klassen,Batsman,84,middle order,2,45,,89
Keshav Maharaj,Bowler,39,lower order,,79,Spin,79
Aiden Markram,All-Rounder,87,middle order,1,77,Pace,90
David Miller,Batsman,88,middle order,3,56,Spin,90
Lungi Ngidi,Bowler,56,lower order,,83,Pace,71
Andile Phehlukwayo,All-Rounder,75,middle order,,79,Pace,78
Tabraiz Shamsi,Bowler,56,lower order,,84,Spin,79
Rassie van der Dussen,Batsman,87,top order,3,35,,86
Kagiso Rabada,Bowler,54,lower order,,86,Pace,80
Lizaad Williams,Bowler,31,lower order,,73,Pace,70
