Name,Role,Batting Skill,Batting Type Main,Batting Type Sub,Bowling Skill,Bowling Type,Fielding Skill
Kusal Mendis,Batsman,76,top order,3,0,,90
Kusal Perera,Batsman,72,top order,2,45,,89
Pathum Nissanka,Batsman,78,top order,1,35,,85
Dushmantha Chameera,Bowler,45,lower order,,75,Pace,78
Dimuth Karunaratne,Batsman,68,top order,1,23,Pace,78
Sadeera Samarawickrama,Batsman,70,middle order,1,29,Spin,85
Charith Asalanka,Batsman,71,middle order,2,45,Pace,82
Dhananjaya de Silva,All-Rounder,68,middle order,,73,Spin,75
Maheesh Theekshana,Bowler,62,lower order,,74,Spin,71
Dunith Wellalage,Bowler,45,lower order,,70,Spin,71
Kasun Rajitha,Bowler,43,lower order,,64,Pace,62
Angelo Mathews,All-Rounder,75,middle order,,75,Pace,89
Dilshan Madushanka,Bowler,41,lower order,,78,Pace,78
Dushan Hemantha,All-Rounder,68,middle order,,72,Spin,71
Chamika Karunaratne,All-Rounder,72,middle order,,71,Spin,89
